מספר מאגר,זיהוי בעל המאגר- תאגיד,שם בעל מאגר,שם המאגר,ישוב,רחוב,בית,ת.ד.,מיקוד,שרותי דיוור,סטטוס מאגר,תאריך המאגר
700045780,0,,עופר ענבר,,,,,,,מאושר,6/27/2013
700045829,0,,לקוחות מבוטחים,,,,,,,מאושר,6/27/2013
700045836,513597591,"סיפמי בע""מ","מאגר לקוחות סיפמיבע""מ",קריית ים,סיגלית,2,,2906801,,מאושר,5/16/2013
700045842,500226402,עירית ראש העין,מרכז מידע (ספרים),ראש העין,שילה,22,,4803622,,מאושר,3/18/2013
700045872,514635697,"פראנה אסנשיילס בע""מ",לקוחות פראנה אסיינשלס,רמת גן,יחזקאל,3,0,5224525,,מאושר,5/16/2013
700045896,580068146,האגודה למען הקשיש כפר יונה ,הקצאת מטפלים למטופלים,כפר יונה,שרת,8,,4035808,,מאושר,3/17/2013
700045995,510759459,"שחם סוכנויות בטוח (1977) בע""מ",שירותי תפעול וניהול מבוטחים,פתח תקווה,שוהם,9,,4951765,,מאושר,5/16/2013
700046000,510759459,"שחם סוכנויות בטוח (1977) בע""מ",עובדים,פתח תקווה,שוהם,9,,4951765,,מאושר,5/16/2013
700046017,511303661,"מגדל  קרנות נאמנות בע""מ",יועצי השקעות בבנקים,תל אביב - יפו       ,סעדיה גאון,26,,6713521,,מאושר,5/16/2013
700046024,511257164,"קלע סוכנות לבטוח (1987)בע""מ",ניהול מבוטחים לקוחות ועובדים,תל אביב יפו,החשמונאים,107,0,6713321,,מאושר,5/16/2013
700046031,513057471,"יורם זילברמן סוכנות לבטוח נ.ש.ר.  (2000) בע""מ","ניהול מבוטחים, לקוחות ועובדים",תל אביב יפו,אלון יגאל,155,0,6744363,,מאושר,5/16/2013
700046054,500500384,המועצה להסדר ההימורים בספורט,מאגר עובדי המועצה,תל אביב - יפו,הארבעה,8,,6473908,,מאושר,5/16/2013
700046061,500500384,המועצה להסדר ההימורים בספורט,מאגר הזוכים והזכיות של המועדה,תל אביב - יפו,הארבעה,8,,6473908,,מאושר,5/16/2013
700046077,500500384,המועצה להסדר ההימורים בספורט,מאגר הלקוחות הרשומים של המועצה,תל אביב - יפו,הארבעה,8,,6473908,,מאושר,5/16/2013
700046084,500500384,המועצה להסדר ההימורים בספורט,מאגר בעלי התחנות של המועצה,תל אביב - יפו,הארבעה,8,,6473908,,מאושר,5/16/2013
700046091,512220542,"אף.סי.(פליינג קרגו) שירותים לוגיסטיים בע""מ",עובדים ושכר,כנות,,,7008,7982500,,מאושר,5/16/2013
700046130,514610823,"נתי פארן סוכנות לביטוח (2011) בע""מ",מאגר לקוחות נתי פארן סוכנות לביטוח,ראשון לציון,סחרוב דוד,19,0,7570723,,מאושר,6/27/2013
700046153,0,,מאגר סוכנות ביטוח,,,,,,,מאושר,5/16/2013
700046176,514035336,"מי שיקמה בע""מ ",צרכני מים וביוב מי שקמה,חולון               ,פרופ' שור,40,15,5810001,,מאושר,7/8/2012
700046208,500226501,עירית רמת השרון,תרבות,רמת השרון,שד ביאליק,41,,4720635,,מאושר,2/16/2014
700046215,500226501,עירית רמת השרון,חינוך מיוחד,רמת השרון,שד ביאליק,41,,4720635,,מאושר,12/30/2012
700046222,500226501,עירית רמת השרון,משק לשעת חירום,רמת השרון,שד ביאליק,41,,4720635,,מאושר,12/30/2012
700046239,500226501,עירית רמת השרון,רשת ספריות ציבוריות,רמת השרון,שד ביאליק,41,,4720635,,מאושר,2/16/2014
700046245,500226501,עירית רמת השרון,וטרינר,רמת השרון,שד ביאליק,41,,4720635,,מאושר,12/30/2012
700046252,500226501,עירית רמת השרון,ביקור סדיר,רמת השרון,שד ביאליק,41,,4720635,,מאושר,12/30/2012
700046269,500226501,עירית רמת השרון,קונסרבטוריון,רמת השרון,שד ביאליק,41,,4720635,,מאושר,5/16/2013
700046275,500226501,עירית רמת השרון,הסעות תלמידים,רמת השרון,שד ביאליק,41,,4720635,,מאושר,12/30/2012
700046282,500226501,עירית רמת השרון,רישוי ופיקוח על הבניה,רמת השרון,שד ביאליק,41,,4720635,,מאושר,12/30/2012
700046299,500226501,עירית רמת השרון,מוקד עירוני,רמת השרון,שד ביאליק,41,,4720635,,מאושר,2/16/2014
700046307,500226501,עירית רמת השרון,חינוך,רמת השרון,שד ביאליק,41,,4720635,,מאושר,12/30/2012
700046314,500226501,עירית רמת השרון,מרכז טיפולי,רמת השרון,שד ביאליק,41,,4720635,,מאושר,12/30/2012
700046321,500226501,עירית רמת השרון,רישוי ושילוט עסקים,רמת השרון,שד ביאליק,41,,4720635,,מאושר,12/30/2012
700046338,500226501,עירית רמת השרון,פניות הציבור,רמת השרון,שד ביאליק,41,,4720635,,מאושר,12/30/2012
700046344,500226501,עירית רמת השרון,דיוור ישיר - ניוזלטר,רמת השרון,שד ביאליק,41,,4720635,,מאושר,2/16/2014
700046368,510759459,"שחם סוכנויות בטוח (1977) בע""מ",סוכנים,פתח תקווה,שוהם,9,,4951765,,מאושר,5/16/2013
700046374,500266002,עירית חולון,מערכת משאבי אנוש,חולון               ,ויצמן,58,,5837309,,מאושר,12/30/2012
700046381,500266002,עירית חולון,מערכת רווחה,חולון               ,ויצמן,58,,5837309,,מאושר,12/30/2012
700046398,500266002,עירית חולון,מערכת משפטית,חולון               ,ויצמן,58,,5837309,,מאושר,12/30/2012
700046406,500266002,עירית חולון,חירום - רעידות אדמה,חולון               ,ויצמן,58,,5837309,,מאושר,12/30/2012
700046420,520029844,החברה למשק וכלכלה של השלטון המקומי בעמ,תשלום משכורות לעובדים,תל אביב - יפו,הארבעה,19,,6473919,,מאושר,3/20/2013
700046437,580019800,"אנוש - העמותה הישראלית לבריאות הנפש (ע""ר)",אנוש-מלם שכר,כפר סבא,דיין משה,30,181,4410101,,מאושר,12/25/2013
700046450,514678119,"דרום דורות סוכנות לביטוח בע""מ",לקוחות דורות,אשדוד,שד ירושלים,18,15125,7752311,,מאושר,7/1/2013
700046480,510715188,"נפתלי מוזס סוכנות לביטוח בע""מ","מאגר לקוחות מוזס סוכנות לביטוח בע""מ",אלקנה,,,164,4481400,,מאושר,6/27/2013
700046497,0,,מאגר לקוחות חלי דיין ביטוחים,,,,,,,מאושר,5/16/2013
700046512,512251638,"משאבי מים פרדס חנה - כרכור בע""מ",ניהול מערך החיוב והגבייה,יהוד-מונוסון,,,1928,5221550,,מאושר,3/24/2013
700046529,580553576,"ארגון הגננות המחנכות (ע""ר)",ארגון הגננות המחנכות,תל אביב - יפו       ,פריש דניאל,3,,6473104,,מאושר,5/16/2013
700046572,513681247,"חברת פלסטופיל הזורע בע""מ",עוקץ תוכנה להכנת תלושי שכר,הזורע               ,,,,3658100,,מאושר,5/16/2013
700046589,0,,מאגר לקוחות ג'ו ג'זוא בטוחים,,,,,,,מאושר,6/27/2013
700046635,580018174,האגודה למען הזקן בני ברק,לים בזקנים/מטופלים שכאי חוק ביטוח סיעודי,בני ברק,אחיה השילוני,2,0,5126703,,מאושר,5/16/2013
700046703,0,,אהרון קרן סוכנות לביטוח,,,,,,,מאושר,11/12/2013
700046727,514672799,"אוברי גינסברג אחזקות בע""מ ",מאגר לקוחות AGIבטוחים ופיננסים,תלמי יפה,דואר נא חוף אשקלון,,198,79120,,מאושר,6/27/2013
700046770,0,,פוקוס,,,,,,,מאושר,5/16/2013
700046787,500296009,עירית קרית ים,רווחה-נמר,קריית ים            ,שרת משה,10,,2910601,,מאושר,5/16/2013
700046794,500296009,עירית קרית ים,מערך כספים הרשות,קריית ים            ,שרת משה,10,,2910601,,מאושר,5/16/2013
700046802,500296009,עירית קרית ים,"קומקום החברה למתנ""סים",קריית ים            ,שרת משה,10,,2910601,,מאושר,5/16/2013
700046819,500296009,עירית קרית ים,"ממ,ד מרשם אוכלוסין",קריית ים            ,שרת משה,10,,2910601,,מאושר,5/16/2013
700046826,500296009,עירית קרית ים,מוקד עירוני,קריית ים            ,שרת משה,10,,2910601,,מאושר,12/30/2012
700046833,513956995,"סמארט סקול בע""מ",מאגר לקוחות סמארט סקול,ראשון לציון,הרב סובהי,13,,7531129,,מאושר,5/16/2013
700046849,513969881,"קלאב 50 סוכנות לביטוח בע""מ","לקוחות קלאב 50 סוכנות לביטוח בע""מ",פתח תקווה           ,היצירה,2,,4951228,,מאושר,5/7/2013
700046863,511296667,"למען - מרכז שרותים למשפחה בע""מ",תלם,רמת גן,ביאליק,76,0,5244136,,מאושר,5/16/2013
700046879,514541465,"די.אר. מרכז רפואי בע""מ ",מידע רפואי של מטופלים,תל אביב יפו,ריינס,6,0,6438108,,מאושר,5/16/2013
700046925,500296009,עירית קרית ים,רישוי עסקים ותברואה,קריית ים            ,שרת משה,10,,2910601,,מאושר,12/30/2012
700046932,500240007,עירית חיפה,אכיפת גביה,חיפה,חסן שוקרי,14,0,3310511,,מאושר,5/7/2013
700046948,513292045,"אחוד פלתורס יהלומים סוכנות לביטוח (2002) בע""מ",עובדים,רמת גן,,,3270,5213201,,מאושר,5/16/2013
700046955,512938424,"מוניציפלית סוכנות לביטוח (2000) בע""מ",לקוחות,רמת גן,דרך אבא הלל,16,,5250608,,מאושר,5/16/2013
700046962,513292045,"אחוד פלתורס יהלומים סוכנות לביטוח (2002) בע""מ",לקוחות,רמת גן,,,3270,5213201,,מאושר,5/16/2013
700046992,0,,מאגר לקוחות אהרון תמר,,,,,,,מאושר,6/27/2013
700047013,500266002,עירית חולון,שירות פסיכולוגי חינוכי,חולון               ,ויצמן,58,,5837309,,מאושר,12/30/2012
700047020,500266002,עירית חולון,מערכות הנדסה,חולון               ,ויצמן,58,,5837309,,מאושר,12/30/2012
700047037,500266002,עירית חולון,מערכת גביה עירונית,חולון               ,ויצמן,58,,5837309,,מאושר,12/30/2012
700047043,500266002,עירית חולון,מערכת וטרינר,חולון               ,ויצמן,58,,5837309,,מאושר,12/30/2012
700047050,514578921,"גל-ביט סוכנות לביטוח פנסיוני (2011) בע""מ ",לקוחות,תל אביב יפו,דרך בן צבי,2,,6818164,,מאושר,5/16/2013
700047067,0,,לקוחות,,,,,,,מאושר,5/16/2013
700047073,512931866,"בכירים - סוכנות ביטוח חיים (2000) בע""מ",לקוחות,תל אביב - יפו,,,20071,6120001,,מאושר,5/16/2013
700047080,520023185,"הפניקס חברה לביטוח בע""מ",משאבי אנוש ושכר,גבעתיים,דרך השלום,53,,5345433,,מאושר,5/7/2013
700047097,520023185,"הפניקס חברה לביטוח בע""מ",חוות דעת אישית,גבעתיים,דרך השלום,53,,5345433,,מאושר,5/7/2013
700047112,0,,לקוחות,,,,,,,מאושר,11/24/2013
700047129,512696295,"דורון ראובני סוכנות לביטוח (1998) בע""מ",לקוחות חסכון ארוך טווח וביטוח חיים,תל אביב - יפו,הרכבת,28,,6777001,,מאושר,12/25/2012
700047136,512696295,"דורון ראובני סוכנות לביטוח (1998) בע""מ",לקוחות,תל אביב - יפו,הרכבת,28,,6777001,,מאושר,12/25/2012
700047142,0,,לקוחות,,,,,,,מאושר,12/25/2012
700047172,520023185,"הפניקס חברה לביטוח בע""מ",תביעות חיים אלמנטרי ובריאות,גבעתיים,דרך השלום,53,,5345433,,מאושר,5/7/2013
700047196,520023185,"הפניקס חברה לביטוח בע""מ",כספים,גבעתיים,דרך השלום,53,,5345433,,מאושר,5/7/2013
700047204,520017450,"הפניקס אחזקות  בע""מ",אחזקות,גבעתייםיב,דרך השלום,53,0,0,,מאושר,5/7/2013
700047211,520023185,"הפניקס חברה לביטוח בע""מ",סוכנים,גבעתיים,דרך השלום,53,,5345433,,מאושר,5/7/2013
700047228,520023185,"הפניקס חברה לביטוח בע""מ",עיקולים,גבעתיים,דרך השלום,53,,5345433,,מאושר,5/7/2013
700047235,520023185,"הפניקס חברה לביטוח בע""מ","בקרת כניסה וטמ""ס",גבעתיים,דרך השלום,53,,5345433,,מאושר,5/7/2013
700047241,0,,מאגר לקוחות,,,,,,,מאושר,12/25/2012
700047271,511751513,"הפניקס פנסיה וגמל בע""מ",תביעות פנסיה,גבעתיים,דרך השלום,53,2070,5345433,,מאושר,5/7/2013
700047310,500213574,יהוד מונוסון,חינוך,יהוד-מונוסון        ,מרבד הקסמים,6,,5635001,,מאושר,12/8/2013
700047327,500213574,יהוד מונוסון,"ממ""ד",יהוד-מונוסון        ,מרבד הקסמים,6,,5635001,,מאושר,12/8/2013
700047340,500213574,יהוד מונוסון,כספים,יהוד-מונוסון        ,מרבד הקסמים,6,,5635001,,מאושר,12/8/2013
700047357,500213574,יהוד מונוסון,"ניהול מערכת רווחה- נמ""ר",יהוד-מונוסון        ,מרבד הקסמים,6,,5635001,,מאושר,12/8/2013
700047364,500213574,יהוד מונוסון,רישוי עסקים,יהוד-מונוסון        ,מרבד הקסמים,6,,5635001,,מאושר,12/8/2013
700047387,500213574,יהוד מונוסון,משאבי אנוש,יהוד-מונוסון        ,מרבד הקסמים,6,,5635001,,מאושר,12/8/2013
700047419,511809527,"ישיר - ביט, סוכנות לביטוח (1993) בע""מ",לקוחות,קדימה,הטווס,6,,6092000,,מאושר,12/25/2012
700047426,513978825,"אנרגי-חסיד סוכנות לביטוח (2007) בע""מ ",לקוחות,תל מונד,הנרקיס,59,306,4060851,,מאושר,12/25/2012
700047433,0,,לקוחות,,,,,,,מאושר,12/25/2012
700047449,513141150,"בית הביטוח (ב.ט) סוכנות לביטוח (2001) בע""מ",לקוחות,נשר,המסילה,19,,3688519,,מאושר,7/24/2013
700047456,514760388,"ירון יעקב סוכנות לביטוח (2012) בע""מ",לקוחות,פתח תקווה,שוהם,9,,4951765,,מאושר,10/3/2013
700047463,0,,לקוחות,,,,,,,מאושר,10/14/2013
700047493,0,,לקוחות,,,,,,,מאושר,8/21/2013
700047501,0,,לקוחות,,,,,,,מאושר,6/30/2013
700047518,514641109,"הלשטוק סוכנות לביטוח 2011בע""מ",לקוחות,חיפה,מרקוני גוליאלמו,10,,3295524,,מאושר,7/24/2013
700047525,0,,לקוחות,,,,,,,מאושר,6/25/2013
700047548,0,,לקוחות,,,,,,,מאושר,7/24/2013
700047555,0,,לקוחות,,,,,,,מאושר,6/30/2013
700047585,0,,לקוחות,,,,,,,מאושר,7/24/2013
700047592,570003111,קיבוץ רוחמה,לקוחות,רוחמה               ,ד.נ חוף אשקלון,,,7918000,,מאושר,7/24/2013
700047600,0,,לקוחות,,,,,,,מאושר,11/24/2013
700047624,514378595,"אורן איילון סוכנות לביטוח בע""מ",לקוחות,נתניה,המלאכה,2,,4250537,,מאושר,6/25/2013
700047631,514442292,"יורם רוזנצוויג סוכנות לביטוח (2010) בע""מ",לקוחות,נתניה,המחשב,1,,4250711,,מאושר,10/3/2013
700047647,0,,לקוחות,,,,,,,מאושר,7/24/2013
700047654,514416775,"רון נוה סוכנות לביטוח (2010) בע""מ",לקוחות,טירת יהודה,,,25,7317500,,מאושר,12/25/2012
700047661,514618305,"אליהו יעיש סוכנות לביטוח (2011) בע""מ",לקוחות,טירת יהודה,,,248,7317500,,מאושר,12/25/2012
700047677,514359199,"אורן- מזרח סוכנות לביטוח בע""מ",עובדים,פתח תקווה,,,3142,4951125,,מאושר,12/25/2012
700047684,514359199,"אורן- מזרח סוכנות לביטוח בע""מ",לקוחות,פתח תקווה,,,3142,4951125,,מאושר,12/25/2012
700047691,514359199,"אורן- מזרח סוכנות לביטוח בע""מ",סוכנים,פתח תקווה,,,3142,4951125,,מאושר,12/25/2012
700047709,514333335,"שי מוריאל-סוכנות לביטוח (2009) בע""מ ",לקוחות,גבעתיים,טבנקין,35,,5362021,,מאושר,12/25/2012
700047723,500287008,עירית רעננה,אוכלוסין,רעננה,,,24,4310001,,מאושר,12/30/2012
700047730,500287008,עירית רעננה,שילוט,רעננה,,,24,4310001,,מאושר,12/30/2012
700047746,500287008,עירית רעננה,דיוור מקוון,רעננה,,,24,4310001,,מאושר,12/30/2012
700047753,500287008,עירית רעננה,מנויי ספורט,רעננה,,,24,4310001,,מאושר,5/16/2013
700047760,500287008,עירית רעננה,בעלים של בעלי חיים ברישיון,רעננה,,,24,4310001,,מאושר,12/30/2012
700047776,500287008,עירית רעננה,חוזים,רעננה,,,24,4310001,,מאושר,12/30/2012
700047783,500287008,עירית רעננה,שירות פסיכולוגי,רעננה,,,24,4310001,,מאושר,12/30/2012
700047790,500287008,עירית רעננה,יעוץ נישואין,רעננה,,,24,4310001,,מאושר,12/30/2012
700047808,500287008,עירית רעננה,חללים,רעננה,,,24,4310001,,מאושר,12/30/2012
700047815,500287008,עירית רעננה,פיקוח עירוני,רעננה,,,24,4310001,,מאושר,12/30/2012
700047822,500287008,עירית רעננה,פניות ציבור,רעננה,,,24,4310001,,מאושר,12/30/2012
700047839,500287008,עירית רעננה,מודעות,רעננה,,,24,4310001,,מאושר,12/30/2012
700047845,500287008,עירית רעננה,מתנדבים,רעננה,,,24,4310001,,מאושר,12/30/2012
700047852,500287008,עירית רעננה,תיקי עורכי דין,רעננה,,,24,4310001,,מאושר,12/30/2012
700047875,580067809,העמותה למען החבר הותיק במודיעים,תלם סיעוד 2011,שוהם                ,מודיעים,49,,6083246,,מאושר,5/16/2013
700047882,0,,סוכנות ביטוח אבי בלאיש,,,,,,,מאושר,8/21/2013
700047921,520039249,"קרדן רכב בע""מ",מאגר מידע לקוחות,בני ברק,,,20184,51202,,מאושר,9/3/2013
700047944,0,,מאגר לקוחות אלי גולן,,,,,,,מאושר,6/27/2013
700047951,580069342,"העמותה למען האזרח הותיק – כ""ס (ע""ר)",העמותה למען הקשיש עובדי עמותה,כפר סבא,תל חי,4,0,4445602,,מאושר,5/16/2013
700047998,514600576,"ויזה טו אול בע""מ ",לקוחות,שדרות               ,כיכר הנשיא,426,,80100,,מאושר,10/7/2014
700048003,512242090,"כהן מחסני השוק בע""מ",מאגר לקוחות לצורך דיוור ישיר,באר שבע,שלשת בני עין חרוד,80,,0,,מאושר,11/20/2013
700048010,510753551,"סופר-פארם (ישראל) בע""מ",קניון בית שמש מכירות תרופות המרשם,הרצליה,שנקר אריה,16,,4672516,,מאושר,1/6/2013
700048027,510753551,"סופר-פארם (ישראל) בע""מ",קניון בית שמש - עובדים,הרצליה,שנקר אריה,16,,4672516,,מאושר,1/6/2013
700048034,510753551,"סופר-פארם (ישראל) בע""מ",ביג עפולה - עובדים,הרצליה,שנקר אריה,16,,4672516,,מאושר,12/25/2012
700048040,510753551,"סופר-פארם (ישראל) בע""מ",ביג עפולה - מכירות תרופות מרשם,הרצליה,שנקר אריה,16,,4672516,,מאושר,12/25/2012
700048057,510753551,"סופר-פארם (ישראל) בע""מ",צים ערד מכירות תרופות מרשם,הרצליה,שנקר אריה,16,,4672516,,מאושר,8/13/2013
700048064,510753551,"סופר-פארם (ישראל) בע""מ",צים ערד - עובדים,הרצליה,שנקר אריה,16,,4672516,,מאושר,8/13/2013
700048070,510753551,"סופר-פארם (ישראל) בע""מ",נצר סירני עובדים,הרצליה,שנקר אריה,16,,4672516,,מאושר,6/12/2013
700048087,510753551,"סופר-פארם (ישראל) בע""מ",נצר סירני מכירות תרופות מרשם,הרצליה,שנקר אריה,16,,4672516,,מאושר,6/12/2013
700048094,510753551,"סופר-פארם (ישראל) בע""מ",גרנד באר שבע עובדים,הרצליה,שנקר אריה,16,,4672516,,מאושר,6/12/2013
700048102,510753551,"סופר-פארם (ישראל) בע""מ",גרנד באר שבע מכירות תרופות מרשם,הרצליה,שנקר אריה,16,,4672516,,מאושר,6/12/2013
700048119,510753551,"סופר-פארם (ישראל) בע""מ",רמת ישי מכירות תרופות המרשם,הרצליה,שנקר אריה,16,,4672516,,מאושר,6/25/2013
700048126,510753551,"סופר-פארם (ישראל) בע""מ",רמת ישי עובדים,הרצליה,שנקר אריה,16,,4672516,,מאושר,6/25/2013
700048133,510753551,"סופר-פארם (ישראל) בע""מ",קדימה מכירות תרופות מרשם,הרצליה,שנקר אריה,16,,4672516,,מאושר,6/25/2013
700048149,510753551,"סופר-פארם (ישראל) בע""מ",קדימה עובדים,הרצליה,שנקר אריה,16,,4672516,,מאושר,6/25/2013
700048156,510753551,"סופר-פארם (ישראל) בע""מ",נמל תל אביב מכירת תרופות מרשם,הרצליה,שנקר אריה,16,,4672516,,מאושר,6/25/2013
700048163,510753551,"סופר-פארם (ישראל) בע""מ",נמל תל אביב עובדים,הרצליה,שנקר אריה,16,,4672516,,מאושר,6/25/2013
700048179,510753551,"סופר-פארם (ישראל) בע""מ",קניון טבריה מכירות תרופות מרשם,הרצליה,שנקר אריה,16,,4672516,,מאושר,7/10/2013
700048186,510753551,"סופר-פארם (ישראל) בע""מ",קניון טבריה - עובדים,הרצליה,שנקר אריה,16,,4672516,,מאושר,7/10/2013
700048193,510753551,"סופר-פארם (ישראל) בע""מ",בן יהודה 4 - עובדים,הרצליה,שנקר אריה,16,,4672516,,מאושר,4/27/2014
700048201,510753551,"סופר-פארם (ישראל) בע""מ",בן יהודה 4 - מכירות תרופות מרשם,הרצליה,שנקר אריה,16,,4672516,,מאושר,4/27/2014
700048232,512447459,"פ.ד. פסגות סוכנות לביטוח חיים (1997) בע""מ",לקוחות,קרית מוצקין,שד גושן משה,27,0,2631217,,מאושר,5/16/2013
700048460,513736454,"מש-דן תחבורה והיסעים  בע""מ",מאגר לקוחות,תל אביב יפו,שד' שאול המלך,39,0,6492807,,מאושר,5/16/2013
700048490,513819771,"מור בית השקעות ניהול תיקים בע""מ",לקוחות,רמת גן,דרך בן גוריון דוד,2,0,5257334,,מאושר,5/16/2013
700048508,514201847,"שוקי טל סוכנות לביטוח פנסיוני (2008) בע""מ",מאגר לקוחות,חיפה,יקינתון,24,0,3479261,,מאושר,5/16/2013
700048515,500500368,הרשות לפיתוח הגליל,מאגר השמה,עכו,,,12011,,,מאושר,12/25/2012
700048552,500236161,עירית מעלה אדומים,עיריית מעלה אדומים מאגר פיננסית לוגיסטית,מעלה אדומים,,,20,9810001,,מאושר,12/30/2012
700048569,500236161,עירית מעלה אדומים,עיריית מעלה אדומים חיובים ותקבולים,מעלה אדומים,,,20,9810001,,מאושר,12/30/2012
700048668,511061921,"גיא סוכנות לבטוח בע""מ",מאגר לקוחות גיא סוכנות לביטוח,תל אביב - יפו,נחלת יצחק,32,,6744824,,מאושר,6/24/2013
700048706,511314361,"אי.פי.אי. (תנועה וחניה) (ישראל) בע""מ",הנחות סטודנטים בר אילן,צור יגאל,,,13187,4486200,,מאושר,5/16/2013
700048720,514226083,"טוטאל הגיל השלישי בע""מ","טוטאל הגיל השלישי בע""מ",ירושלים             ,המלך ג'ורג',3,,9422903,,מאושר,5/16/2013
700048773,513825604,"קלי שוקי הון סוכנות לביטוח (2006) בע""מ",קלי שוקי הון סוכנות לביטוח,תל אביב יפו,המסגר,12,0,6777661,,מאושר,5/16/2013
700048780,510517162,"קלי-יועצים לביטוח פנסיוני בע""מ",קלי יועצים לביטוח פנסיוני,תל אביב יפו,דרך בגין,52,0,6713701,,מאושר,5/16/2013
700048797,550234801,"קלי בריאות- סוכנות לביטוח פנסיוני (2009),שותפות מוגבלת",קלי בריאות סוכנות לביטוח פנסיוני,תל אביב יפו,דרך בגין,52,0,6713701,,מאושר,5/16/2013
700048805,512521634,"פזגז באר שבע והנגב בע""מ",משכורות,באר-שבע,פסגי שביט,99,5354,84152,,מאושר,5/16/2013
700048812,512411612,"חברת מרק שארפ ודוהם (ישראל - 1996) בע""מ","שיתוף פעולה בין חברות תרופות, חוקרים ואתרי מחקר - Investigators Databank Program",הוד השרון           ,החרש,34,,4527701,,מאושר,5/27/2014
700048872,0,,לקוחות יוסי כבירי,,,,,,,מאושר,5/16/2013
700048889,513402958," יו-נט פתרונות סוכנות לביטוח כללי בע""מ",באפי,תל אביב יפו,אלון יגאל,65,0,6744316,,מאושר,5/16/2013
700048928,512959289,"פאואר קארד (2000) בע""מ",מועדון לקוחות פאואר קארד,ראשון לציון,טוליפמן,7,15604,7536412,כן,מאושר,11/25/2013
700049017,500265004,עירית חדרה,מאגר שכר ומשאבי אנוש,חדרה,,,16,3810001,,מאושר,12/25/2012
700049024,500265004,עירית חדרה,מערכת רווחה,חדרה,,,16,3810001,,מאושר,12/25/2012
700049031,500265004,עירית חדרה,מערכת פיננסית-ניהול חשבונות ומערך ספקים,חדרה,,,16,3810001,,מאושר,12/25/2012
700049047,500265004,עירית חדרה,מערכת יוצרת חיוב,חדרה,,,16,3810001,,מאושר,12/25/2012
700049054,500210547,מ. מ. תל שבע,אוכלוסין תל שבע,תל שבע,,,63,8495000,,מאושר,3/21/2013
700049077,512027368,"מניב ראשון בע""מ",פרטי צרכני מים,ראשון לציון,,,8515,7518302,,מאושר,5/16/2013
700049084,514775519,"צוות - קוואטרו סוכנות לביטוח (2012) בע""מ",צוות קוואטרו בוכנות לביטוח,תל אביב - יפו,מיקוניס שמואל,3,,6777212,,מאושר,5/16/2013
700049091,514434943,"אדר פיננשיא - סוכנות לביטוח פנסיוני (2010) בע""מ ",מאגר לקוחות אדר פיננשיא,ראשון לציון,חומה,15,,0,,מאושר,5/26/2013
700049109,0,,לקוחות סןכנות ביטוח נאור,,,,,,,מאושר,5/26/2013
700049116,512904608,"שירביט חברה לביטוח בע""מ",מבוטחי ביטוח חיים,נתניה,יד חרוצים,18,6137,4216002,,מאושר,5/16/2013
700049130,500292008,עירית בית שאן,מימד - 200מאגר רישום אוכלוסין,בית שאן,ירושלים הבירה,1,,1177001,,מאושר,1/6/2013
700049146,514638113,"מה היום בע""מ ",רשימת לקוחות,חולון               ,שמר נעמי,10,,5840603,,מאושר,3/24/2013
700049153,500210265,מ. א. מטה יהודה,גביה,מטה יהודה,,,,,,מאושר,1/6/2013
700049160,500210265,מ. א. מטה יהודה,משאבי אנוש,מטה יהודה,,,,,,מאושר,1/6/2013
700049176,500210265,מ. א. מטה יהודה,שכר,מטה יהודה,,,,,,מאושר,1/6/2013
700049183,500210265,מ. א. מטה יהודה,רווחה,מטה יהודה,,,,,,מאושר,3/20/2013
700049190,500210265,מ. א. מטה יהודה,"ממ""ד מרשם אוכלוסין",מטה יהודה,,,,,,מאושר,1/6/2013
700049208,500210265,מ. א. מטה יהודה,נתונים הנדסיים,מטה יהודה,,,,,,מאושר,1/6/2013
700049215,500210265,מ. א. מטה יהודה,"קב""ס",מטה יהודה,,,,,,מאושר,1/6/2013
700049222,500210265,מ. א. מטה יהודה,נתוני תושבים,מטה יהודה,,,,,,מאושר,3/20/2013
700049239,500210265,מ. א. מטה יהודה,הנהלת חשבונות,מטה יהודה,,,,,,מאושר,1/6/2013
700049252,512869116,"מימד חדש - יעוץ וניהול השקעות בע""מ",תוכנה לניהול השקעות,נתניה,גבורי ישראל,13,8382,4250413,,מאושר,3/20/2013
700049275,514210343,"דגני גיורא - סוכנות לביטוח (2008) בע""מ",לקוחות החברה,נתניה,המחשב,1,0,4250711,,מאושר,3/18/2013
700049299,0,,מבוטחי אלי בן שמחון,,,,,,,מאושר,5/19/2013
700049307,0,,תיעוד הכשרת פרחי אימון,,,,,,,מאושר,1/6/2013
700049321,580163525,"גורדון המכללה האקדמית לחינוך (ע""ר)",אורביט - מינהל סטודנטים,חיפה                ,טשרניחובסקי,73,,3570503,,מאושר,7/28/2014
700049338,520038662,"כביש חוצה ישראל בע""מ",מאגר מתנדבים נעים לירוק,תל אביב - יפו,אלון יגאל,65,,6744316,,מאושר,5/16/2013
700049344,500240007,עירית חיפה,מאגרי תפוצה (טלפונים),חיפה,חסן שוקרי,14,0,3310511,,מאושר,5/7/2013
700049374,500210638,עירית מעלות תרשיחא,"ממ""ר - 2002מערכת מידע לקב""ס",מעלות-תרשיחא,,,59,2101001,,מאושר,3/20/2013
700049589,514801547,"מי רמת גן בע""מ",מאגר צרכני מים וביוב -מי רמת גן,רמת גן,דרך אבא הלל,14,,5250607,,מאושר,12/25/2012
